date	subject	eventType	object
1968-12-21	Apollo_8	DEPARTS	LEO
1968-12-24	Apollo_8	ARRIVES	Lunar_Orbit
1968-12-25	Apollo_8	DEPARTS	Lunar_Orbit
1968-12-27	Apollo_8	ARRIVES	Earth
1969-01-14	Soyuz_4_Spacecraft	SUPPORTS	Soyuz_4
1969-01-14	Vladimir_Shatalov	JOINS	Soyuz_4
1969-01-14	Soyuz_4	DEPARTS	Earth
1969-01-14	Soyuz_4	ARRIVES	LEO
1969-01-15	Soyuz_5_Spacecraft	SUPPORTS	Soyuz_5
1969-01-15	Yevgeny_Khrunov	JOINS	Soyuz_5
1969-01-15	Boris_Volynov	JOINS	Soyuz_5
1969-01-15	Aleksei_Yeliseyev	JOINS	Soyuz_5
1969-01-15	Soyuz_5	DEPARTS	Earth
1969-01-15	Soyuz_5	ARRIVES	LEO
1969-01-16	Soyuz_5_Spacecraft	SUPPORTS	Soyuz_4
1969-01-16	Yevgeny_Khrunov	JOINS	Soyuz_4
1969-01-16	Aleksei_Yeliseyev	JOINS	Soyuz_4
1969-01-16	Boris_Volynov	JOINS	Soyuz_4
1969-01-16		BREAK	
1969-01-16	Soyuz_5_Spacecraft	SUPPORTS	Soyuz_5
1969-01-16	Boris_Volynov	JOINS	Soyuz_5
1969-01-17	Soyuz_4	DEPARTS	LEO
1969-01-17	Soyuz_4	ARRIVES	Earth
1969-01-17	Soyuz_4	ENDS	
1969-01-18	Soyuz_5	DEPARTS	LEO
1969-01-18	Soyuz_5	ARRIVES	Earth
1969-03-03	Apollo_9#LM	ARRIVES	LEO
1969-03-03	CSM_Gumdrop	SUPPORTS	Apollo_9
1969-03-03	LM_Spider	SUPPORTS	Apollo_9
1969-03-03	Rusty_Schweickart	JOINS	Apollo_9
1969-03-03	James_McDivitt	JOINS	Apollo_9
1969-03-03	David_Scott	JOINS	Apollo_9
1969-03-03	Apollo_9	DEPARTS	Earth
1969-03-03	Apollo_9	ARRIVES	LEO
1969-03-07	LM_Spider	SUPPORTS	Apollo_9#LM
1969-03-07	Rusty_Schweickart	JOINS	Apollo_9#LM
1969-03-07	James_McDivitt	JOINS	Apollo_9#LM
1969-03-07		BREAK	
1969-03-07	LM_Spider	SUPPORTS	Apollo_9
1969-03-07	Rusty_Schweickart	JOINS	Apollo_9
1969-03-07	James_McDivitt	JOINS	Apollo_9
1969-03-07		BREAK	
1969-03-07	LM_Spider	SUPPORTS	Apollo_9#LM
1969-03-07	Apollo_9#LM	DEPARTS	LEO
1969-03-07	Apollo_9#LM	ARRIVES	HEO
1969-03-07	Apollo_9#LM	ENDS	
1969-03-13	Apollo_9	DEPARTS	LEO
1969-03-13	Apollo_9	ARRIVES	Earth
1969-03-13	Apollo_9	ENDS	
1969-05-18	Apollo_10#LM–CSM_docking	ARRIVES	Lunar_Orbit
1969-05-18	CSM_Charlie_Brown	SUPPORTS	Apollo_10
1969-05-18	LM_Snoopy	SUPPORTS	Apollo_10
1969-05-18	Thomas_P._Stafford	JOINS	Apollo_10
1969-05-18	John_Young_(astronaut)	JOINS	Apollo_10
1969-05-18	Eugene_Cernan	JOINS	Apollo_10
1969-05-18	Apollo_10	DEPARTS	Earth
1969-05-18	Apollo_10	ARRIVES	LEO
1969-05-18	Apollo_10	DEPARTS	LEO
1969-05-21	Apollo_10	ARRIVES	Lunar_Orbit
1969-05-22	LM_Snoopy	SUPPORTS	Apollo_10#LM–CSM_docking
1969-05-22	Thomas_P._Stafford	JOINS	Apollo_10#LM–CSM_docking
1969-05-22	Eugene_Cernan	JOINS	Apollo_10#LM–CSM_docking
1969-05-22		BREAK	
1969-05-23	LM_Snoopy	SUPPORTS	Apollo_10
1969-05-23	Thomas_P._Stafford	JOINS	Apollo_10
1969-05-23	Eugene_Cernan	JOINS	Apollo_10
1969-05-23		BREAK	
1969-05-23	LM_Snoopy	SUPPORTS	Apollo_10#LM–CSM_docking
1969-05-23	Apollo_10#LM–CSM_docking	DEPARTS	Lunar_Orbit
1969-05-23	Apollo_10#LM–CSM_docking	ARRIVES	Heliocentric
1969-05-23	Apollo_10#LM–CSM_docking	ENDS	
1969-05-24	Apollo_10	DEPARTS	Lunar_Orbit
1969-05-26	Apollo_10	ARRIVES	Earth
1969-07-16	Apollo_11#Landing	ARRIVES	Lunar_Orbit
1969-07-16	CSM_Columbia	SUPPORTS	Apollo_11
1969-07-16	LM_Eagle	SUPPORTS	Apollo_11
1969-07-16	Neil_Armstrong	JOINS	Apollo_11
1969-07-16	Michael_Collins_(astronaut)	JOINS	Apollo_11
1969-07-16	Buzz_Aldrin	JOINS	Apollo_11
1969-07-16	Apollo_11	DEPARTS	Earth
1969-07-16	Apollo_11	ARRIVES	LEO
1969-07-16	Apollo_11	DEPARTS	LEO
1969-07-19	Apollo_11	ARRIVES	Lunar_Orbit
1969-07-20	LM_Eagle	SUPPORTS	Apollo_11#Landing
1969-07-20	Neil_Armstrong	JOINS	Apollo_11#Landing
1969-07-20	Buzz_Aldrin	JOINS	Apollo_11#Landing
1969-07-20	Apollo_11#Landing	DEPARTS	Lunar_Orbit
1969-07-20	Apollo_11#Landing	ARRIVES	Lunar_Surface
1969-07-21	Apollo_11#Landing	DEPARTS	Lunar_Surface
1969-07-21	Apollo_11#Landing	ARRIVES	Lunar_Orbit
1969-07-21	LM_Eagle	SUPPORTS	Apollo_11
1969-07-21	Neil_Armstrong	JOINS	Apollo_11
1969-07-21	Buzz_Aldrin	JOINS	Apollo_11
1969-07-21		BREAK	
1969-07-21	LM_Eagle	SUPPORTS	Apollo_11#Landing
1969-07-22	Apollo_11	DEPARTS	Lunar_Orbit
1969-07-24	Apollo_11	ARRIVES	Earth
1969-08-01	Apollo_11#Landing	DEPARTS	Lunar_Orbit
1969-08-01	Apollo_11#Landing	ARRIVES	Lunar_Surface
1969-08-01	Apollo_11#Landing	ENDS	
